Date,EE_BC1,EE_BC2,EE_BC3,Q_BC1,T_SAL_BC1,T_ENT_BC1,ET_BC1_Frio,ET_BC1_Calor,Q_BC2,T_SAL_BC2,T_ENT_BC2,ET_BC2_Frio,ET_BC2_Calor,Q_BC3,T_SAL_BC3,T_ENT_BC3,ET_BC3_Frio,ET_BC3_Calor,Q_TER,T_IMP_TER,T_RET_TER,ET_TER_Frio,ET_TER_Calor,EE_TER,EE_BC1_TER,EE_BC2_TER
07-02-2024;15:00:00.000,"4.286","9.69","2895.589","0","16.97","16.91","0","0","0","38.65","41.49","0","0","0","14.78","15.47","0.712","1.291","0","0","0","0","0","0","0","0"
07-02-2024;15:00:51.000,"4.286","9.69","2895.589","0","17.02","16.93","0","0","0","38.48","41.41","0","0","0","14.82","15.48","0.712","1.291","0","0","0","0","0","0","0","0"
07-02-2024;15:02:57.000,"4.398","9.69","2895.589","0.017","17.11","17.03","0","0","0","38.12","41.02","0","0","0","14.82","15.48","0.712","1.291","0.034","-3333","16.97","0.117","-3333","13.79","0","0"
07-02-2024;15:04:40.000,"4.62","9.69","2895.589","0.017","17.09","16.97","0","0","0","37.72","40.87","0","0","0","14.84","15.52","0.712","1.291","0.035","14.85","16.96","0.12","0","13.857","0","0"
07-02-2024;15:06:08.000,"4.829","9.69","2895.589","0.017","17.19","17.04","0","0","0","37.55","40.89","0","0","0","14.87","15.53","0.712","1.291","33.59","14.69","17.22","0.122","0","13.914","0","0"
07-02-2024;15:10:00.000,"5.52","9.69","2895.589","16.84","17.27","17.09","0","0","0","37.02","40.82","0","0","0","14.93","15.56","0.712","1.291","34.07","14.3","16.95","0.129","0","14.067","0","0"
07-02-2024;15:20:00.000,"8.055","17.96","2895.589","16.67","44.78","44.27","0.006","0","16.12","47.55","45.32","0","0.12","0","15.06","15.66","0.712","1.291","36.82","14.75","16.77","0.141","0","14.464","0","0"
07-02-2024;15:30:00.000,"8.257","18.03","2895.589","0","24.19","43.99","0.01","0","0","45.65","45.8","0","0.12","0","15.19","15.75","0.712","1.291","32.71","15.34","15.29","0.145","0","14.85","0","0"
07-02-2024;15:40:00.000,"8.257","18.03","2895.589","0","43.46","44.96","0.01","0","0","44.21","42.91","0","0.12","0","15.3","15.83","0.712","1.291","32.77","15.23","15.19","0.145","0","15.234","0","0"
07-02-2024;15:50:00.000,"8.257","18.03","2895.589","0","42.24","44.45","0.01","0","0","43.02","40.84","0","0.12","0","15.38","15.88","0.712","1.291","32.81","15.45","15.44","0.145","0","15.619","0","0"
07-02-2024;16:00:00.000,"8.427","18.03","2895.589","16.82","43.51","42.15","0.01","0","0","42.33","39.07","0","0.12","0","15.44","15.91","0.712","1.291","33.99","14.97","15.47","0.145","0","16.005","0","0"
07-02-2024;16:10:00.000,"10.279","18.08","2895.589","16.8","46.88","43.22","0.01","0.009","16.19","42.3","42.77","0","0.12","0","15.51","15.95","0.712","1.291","36.88","14.22","15.54","0.152","0","16.393","0","0"
07-02-2024;16:20:00.000,"12.266","26.51","2895.589","0.01","45.95","45.76","0.01","0.019","0","46.26","46.35","0","0.15","0","15.59","16.03","0.712","1.291","33.1","15.55","15.5","0.162","0","16.792","0","0"
