"mes";"xmlns:xsi";"xsi:noNamespaceSchemaLocation";"dia";"Dia";"hora";"Hora";"Meteoros";"Dir.Med._a_2200cm";"Humedad._a_110cm";"Irradia.._a_260cm";"Nivel2._a_450cm";"Precip.._a_150cm";"Presion._a_150cm";"Sig.Dir._a_2200cm";"Sig.Vel._a_2200cm";"Tem.Aire._a_110cm";"Vel.Max._a_2200cm";"Vel.Med._a_2200cm"
;"http://www.w3.org/2001/XMLSchema-instance";"C03A_2024_1.xsd";;"2024-1-01";;"00:00";;"132.6";"79.01";"0.71";"-0.63";"0.0";"1018.81";"6.68";"0.41";"9.72";"5.49";"3.83"
;;;;;;"00:10";;"134.6";"79.65";"0.69";"-0.71";"0.0";"1018.75";"8.09";"0.48";"9.66";"5.0";"3.84"
;;;;;;"00:20";;"136.6";"79.6";"0.8";"-0.7";"0.0";"1018.69";"5.86";"0.43";"9.62";"5.29";"3.88"
;;;;;;"00:30";;"133.1";"79.42";"0.77";"-0.64";"0.0";"1018.59";"10.02";"0.52";"9.6";"5.29";"3.87"
;;;;;;"00:40";;"133.4";"78.8";"0.79";"-0.66";"0.0";"1018.48";"6.99";"0.63";"9.55";"6.17";"4.37"
;;;;;;"00:50";;"124.0";"77.74";"0.65";"-0.67";"0.0";"1018.37";"10.53";"0.92";"9.46";"6.37";"3.63"
;;;;;;"01:00";;"131.3";"78.05";"0.76";"-0.59";"0.0";"1018.24";"6.43";"0.62";"9.44";"6.47";"4.26"
;;;;;;"01:10";;"131.5";"78.41";"0.75";"-0.54";"0.0";"1018.16";"9.33";"0.69";"9.38";"6.76";"3.98"
;;;;;;"01:20";;"134.2";"79.42";"0.81";"-0.54";"0.0";"1018.01";"7.43";"0.65";"9.34";"6.57";"4.83"
;;;;;;"01:30";;"137.5";"81.0";"0.82";"-0.49";"0.0";"1017.86";"6.39";"0.65";"9.23";"6.08";"4.5"
;;;;;;"01:40";;"139.4";"81.7";"0.97";"-0.38";"0.0";"1017.7";"4.97";"0.47";"9.17";"6.66";"4.88"
;;;;;;"01:50";;"139.8";"81.7";"1.0";"-0.34";"0.0";"1017.64";"6.46";"0.65";"9.14";"5.98";"4.31"
;;;;;;"02:00";;"134.8";"82.9";"0.84";"-0.28";"0.0";"1017.72";"12.62";"0.82";"9.05";"4.9";"2.92"
;;;;;;"02:10";;"136.2";"81.5";"0.81";"-0.19";"0.0";"1017.78";"15.33";"0.85";"9.05";"4.21";"2.61"
