mes,xmlns:xsi,xsi:noNamespaceSchemaLocation,dia,Dia,hora,Hora,Meteoros,Dir.Med._a_2200cm,Humedad._a_110cm,Irradia.._a_260cm,Nivel2._a_450cm,Precip.._a_150cm,Presion._a_150cm,Sig.Dir._a_2200cm,Sig.Vel._a_2200cm,Tem.Aire._a_110cm,Vel.Max._a_2200cm,Vel.Med._a_2200cm
,http://www.w3.org/2001/XMLSchema-instance,C03A_2024_2.xsd,,2024-02-01,,0:00,,141.6,85.6,0.44,-0.79,0,1035.72,10.23,0.55,10.54,4.61,3.13
,,,,,,0:10,,141.5,85.5,0.43,-0.85,0,1035.6,7.1,0.53,10.51,5,3.61
,,,,,,0:20,,138.2,83.7,0.42,-0.92,0,1035.53,8.82,0.6,10.5,5.39,3.7
,,,,,,0:30,,142.4,82.6,0.42,-0.92,0,1035.68,13.2,0.65,10.6,5.59,3.06
,,,,,,0:40,,155.8,83.9,0.42,-0.93,0,1035.87,20.55,0.87,10.34,4.9,2.38
,,,,,,0:50,,152,88.4,0.42,-0.98,0,1035.75,14.76,0.6,9.5,4.61,2.94
,,,,,,1:00,,147.4,85.6,0.42,-1.04,0,1035.77,10.21,0.55,9.92,4.61,3.03
,,,,,,1:10,,170.6,89.1,0.42,-0.99,0,1035.88,18.7,0.37,9.21,2.94,1.79
,,,,,,1:20,,179.8,92,0.42,-0.95,0,1035.88,10.61,0.36,8.66,3.04,2.06
,,,,,,1:30,,191.7,92.7,0.42,-0.95,0,1036.01,14.17,0.27,8.51,1.86,1.15
,,,,,,1:40,,185.4,93.3,0.42,-0.94,0,1036.05,10.26,0.42,8.38,1.76,0.56
,,,,,,1:50,,187.4,93.8,0.42,-0.91,0,1036.16,12.11,0.44,8.29,2.16,1.24
,,,,,,2:00,,170.8,93.9,0.42,-0.86,0,1036.14,15.48,0.38,8.24,1.86,1.04
,,,,,,2:10,,182.8,93.8,0.42,-0.81,0,1036.07,16.48,0.56,8.19,2.74,1.51
,,,,,,2:20,,172,94.2,0.42,-0.75,0,1035.89,11.23,0.28,8.08,1.86,1.09
,,,,,,2:30,,189.1,94.7,0.41,-0.67,0,1036.04,14.11,0.26,7.99,1.76,1.1
,,,,,,2:40,,221.8,95.8,0.41,-0.63,0,1036.23,16.48,0.43,7.82,2.25,1.25
,,,,,,2:50,,184.8,97,0.43,-0.58,0,1036.16,26.58,0.46,7.58,2.16,1.14
,,,,,,3:00,,172,97.4,0.43,-0.5,0,1036.15,24.2,0.45,7.45,1.67,0.37
,,,,,,3:10,,247,98.8,0.43,-0.32,0,1036.3,0.02,0.21,7.42,0.69,0.14
,,,,,,3:20,,202.7,99.2,0.44,-0.26,0,1036.31,23.34,0.48,7.31,2.16,1.17
,,,,,,3:30,,190.3,99.2,0.45,-0.23,0,1036.47,8.11,0.46,7.21,2.55,1.27
,,,,,,3:40,,168.5,99.4,0.72,-0.11,0,1036.54,12.58,0.17,7.17,1.76,1.19
