Date,HDD,CDD
2024-04-01,5.5,0
2024-04-02,4.6,0
2024-04-03,1.2,1.9
2024-04-04,0,3.4
2024-04-05,0,5
2024-04-06,0.1,4.3
2024-04-07,2.3,0.2
2024-04-08,3.8,0.8
2024-04-09,6.6,0
2024-04-10,6,0
2024-04-11,5,0.5
2024-04-12,3.4,2.7
2024-04-13,2.8,2.9
2024-04-14,3.6,0.9
2024-04-15,4.8,0
2024-04-16,5.9,0
2024-04-17,6.8,0
2024-04-18,6.8,0
2024-04-19,6.3,0.5
2024-04-20,6.1,0
2024-04-21,7.6,0
2024-04-22,6.7,0
2024-04-23,9.4,0
2024-04-24,8.3,0
2024-04-25,7.1,0
2024-04-26,5.5,0
2024-04-27,5.8,0
2024-04-28,7.4,0
2024-04-29,6.4,0
2024-04-30,5.6,1.1
2024-05-01,7.1,0
2024-05-02,6.9,0
2024-05-03,3.8,0.6
2024-05-04,0.3,2.3
2024-05-05,2.5,0.9
2024-05-06,4.5,0
2024-05-07,4,0
